day,date,horizon_hours,released_horizon_hours,difficulty,doubling_days,release_regime
0.000000,2026-05-01T00:00:00,26.883333,26.883333,0.9512255273,81.875194,monthly
1.000000,2026-05-02T00:00:00,27.112181,26.883333,0.9488280627,81.668836,monthly
2.000000,2026-05-03T00:00:00,27.343563,26.883333,0.9464306166,81.462480,monthly
3.000000,2026-05-04T00:00:00,27.577514,26.883333,0.9440331892,81.256125,monthly
4.000000,2026-05-05T00:00:00,27.814069,26.883333,0.9416357808,81.049772,monthly
5.000000,2026-05-06T00:00:00,28.053264,26.883333,0.9392383915,80.843420,monthly
6.000000,2026-05-07T00:00:00,28.295136,26.883333,0.9368410217,80.637071,monthly
7.000000,2026-05-08T00:00:00,28.539720,26.883333,0.9344436714,80.430723,monthly
8.000000,2026-05-09T00:00:00,28.787055,26.883333,0.9320463409,80.224376,monthly
9.000000,2026-05-10T00:00:00,29.037179,26.883333,0.9296490305,80.018032,monthly
10.000000,2026-05-11T00:00:00,29.290131,26.883333,0.9272517404,79.811689,monthly
11.000000,2026-05-12T00:00:00,29.545949,26.883333,0.9248544707,79.605348,monthly
12.000000,2026-05-13T00:00:00,29.804675,26.883333,0.9224572218,79.399009,monthly
13.000000,2026-05-14T00:00:00,30.066348,26.883333,0.9200599939,79.192671,monthly
14.000000,2026-05-15T00:00:00,30.331010,26.883333,0.9176627871,78.986335,monthly
15.000000,2026-05-16T00:00:00,30.598704,26.883333,0.9152656018,78.780002,monthly
16.000000,2026-05-17T00:00:00,30.869471,26.883333,0.9128684382,78.573670,monthly
17.000000,2026-05-18T00:00:00,31.143356,26.883333,0.9104712966,78.367339,monthly
18.000000,2026-05-19T00:00:00,31.420403,26.883333,0.9080741771,78.161011,monthly
19.000000,2026-05-20T00:00:00,31.700656,26.883333,0.9056770801,77.954685,monthly
20.000000,2026-05-21T00:00:00,31.984161,26.883333,0.9032800058,77.748361,monthly
21.000000,2026-05-22T00:00:00,32.270966,26.883333,0.9008829545,77.542038,monthly
22.000000,2026-05-23T00:00:00,32.561117,26.883333,0.8984859264,77.335718,monthly
23.000000,2026-05-24T00:00:00,32.854662,26.883333,0.8960889219,77.129400,monthly
24.000000,2026-05-25T00:00:00,33.151650,26.883333,0.8936919411,76.923084,monthly
25.000000,2026-05-26T00:00:00,33.452132,26.883333,0.8912949844,76.716770,monthly
26.000000,2026-05-27T00:00:00,33.756157,26.883333,0.8888980521,76.510457,monthly
